State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed,,,
MA,,2,8310,1,20001,NPH ILETIN,,,,,,,,,5250,303,13578.85,0,0,,,
MA,,2,8310,1,20002,NPH ILETIN,,,,,,,,,2140,146,5470.76,0,0,,,
MA,,2,8310,1,20003,NPH ILETIN,,,,,,,,,610,45,1588.92,0,0,,,
MA,,2,8310,1,20004,NPH ILETIN,,,,,,,,,110,8,291.76,0,0,,,
MA,,2,8311,1,20001,NPH ILETIN,,,,,,,,,1240,64,4702.87,0,0,,,
MA,,2,8311,1,20002,NPH ILETIN,,,,,,,,,1150,65,4222.03,0,0,,,
MA,,2,8311,1,20003,NPH ILETIN,,,,,,,,,1030,56,3684.21,0,0,,,
MA,,2,8311,1,20004,NPH ILETIN,,,,,,,,,980,56,3528.48,0,0,,,
MA,,2,7195,1,20001,ONCOVIN   ,,,,,,,,,12,2,385.68,0,0,,,
MA,,2,7195,1,20002,ONCOVIN   ,,,,,,,,,6,1,192.84,0,0,,,
MA,,2,2606,5,20001,OPIUM     ,,,,,,,,,240,2,81.8,0,0,,,
MA,,2,2606,5,20002,OPIUM     ,,,,,,,,,300,3,103,0,0,,,
